"Age","Total","Visual","Auditory","Touch","smellTaste","Movement","multiSensory","Gender","Country","Smell","Region"
"<20",-1,1,-4,-1,3,1,-1,"Male","South Africa",2,"southAfrica"
"50+",1,0,-10,1,5,1,4,"Female","South Africa",3,"southAfrica"
"50+",29,6,4,8,3,4,4,"Female","United States",1,"northAmerica"
"20-35",-19,-3,-5,1,0,-8,-4,"Female","South Africa",1,"southAfrica"
"35-50",6,-2,6,2,-1,0,1,"Male","South Africa",-2,"southAfrica"
"20-35",-15,-3,-6,-1,2,-3,-4,"Female","South Africa",2,"southAfrica"
"20-35",-13,-3,-5,-1,1,-4,-1,"Female","South Africa",1,"southAfrica"
"20-35",-9,-4,-8,-1,-3,6,1,"Female","United States",-1,"northAmerica"
"20-35",-7,2,-4,2,2,-4,-5,"Female","South Africa",1,"southAfrica"
"20-35",-24,-5,-7,-2,-4,-3,-3,"Male","South Africa",-5,"southAfrica"
"20-35",-4,-3,-1,-2,3,0,-1,"Female","South Africa",1,"southAfrica"
"20-35",10,4,-4,4,0,4,2,"Female","South Africa",-2,"southAfrica"
"50+",9,-3,3,2,4,0,3,"Female","United Kingdom",3,"UKireland"
"50+",-3,1,-3,-3,-2,2,2,"Male","United Kingdom",-2,"UKireland"
"35-50",-12,-1,-2,2,-3,-3,-5,"Male","United States",0,"northAmerica"
"20-35",20,3,8,3,-2,2,6,"Female","Australia",-1,"AustrNZ"
"20-35",-6,2,-1,-6,1,-2,0,"Other","South Africa",0,"southAfrica"
"35-50",-8,-5,-5,0,-4,3,3,"Female","United Kingdom",-3,"UKireland"
"20-35",-41,-9,-7,-7,-6,-7,-5,"Female","India",-2,"Other"
"<20",3,-1,1,4,-1,1,-1,"Male","Australia",0,"AustrNZ"
NA,16,1,5,7,2,1,0,"notSay","South Africa",1,"southAfrica"
"20-35",-1,1,3,-1,-1,-4,1,"Female","South Africa",-1,"southAfrica"
"35-50",7,-1,-3,6,2,1,2,"Female","South Africa",0,"southAfrica"
"20-35",-25,-2,-5,-4,-3,-2,-9,"Male","South Africa",-1,"southAfrica"
"20-35",17,5,-3,2,1,7,5,"Female","United Kingdom",0,"UKireland"
"35-50",-5,-4,-7,4,0,2,0,"Male","South Africa",-2,"southAfrica"
"<20",15,2,5,5,1,-2,4,"Male","South Africa",1,"southAfrica"
"20-35",-15,-2,-5,-3,1,-7,1,"Female","United States",0,"northAmerica"
"20-35",15,1,0,6,2,4,2,"Female","South Africa",0,"southAfrica"
"<20",-22,-4,-6,-4,-7,2,-3,"Female","South Africa",-4,"southAfrica"
"<20",-18,-2,-6,-5,1,-3,-3,"Female","South Africa",2,"southAfrica"
"50+",-13,-4,-3,-1,2,-4,-3,"Female","Canada",0,"northAmerica"
"<20",3,0,0,1,-1,5,-2,"Male","South Africa",-2,"southAfrica"
"<20",-8,-4,0,4,-4,-2,-2,"Male","South Africa",0,"southAfrica"
"<20",-39,-6,-7,-7,-3,-6,-10,"Female","South Africa",1,"southAfrica"
"35-50",-9,-1,1,-2,-5,1,-3,"Female","Australia",-2,"AustrNZ"
"35-50",-23,-4,-7,-6,-5,1,-2,"Female","United Kingdom",-3,"UKireland"
"20-35",18,8,-2,2,2,4,4,"Female","South Africa",1,"southAfrica"
"35-50",-14,-3,-6,-1,-1,-2,-1,"Female","South Africa",-2,"southAfrica"
"20-35",-14,-2,-3,-3,1,-5,-2,"Female","South Africa",2,"southAfrica"
"<20",-19,-2,-1,-4,-7,-4,-1,"Female","South Africa",-4,"southAfrica"
"20-35",-27,-3,-7,-3,-3,-4,-7,"Other","South Africa",-2,"southAfrica"
"20-35",-20,-1,-8,-2,1,-1,-9,"Female","South Africa",1,"southAfrica"
"<20",-13,-3,-4,-6,0,4,-4,"Female","South Africa",1,"southAfrica"
"20-35",7,1,4,3,-7,3,3,"Female","South Africa",-5,"southAfrica"
"35-50",-29,-4,-8,0,-4,-6,-7,"Female","South Africa",-2,"southAfrica"
"<20",-26,-6,-5,-8,-7,1,-1,"Female","South Africa",-4,"southAfrica"
"35-50",0,-2,1,0,1,-3,3,"Female","South Africa",1,"southAfrica"
"<20",-14,-6,-1,-5,-2,1,-1,"Female","South Africa",2,"southAfrica"
"20-35",-7,2,-3,-3,1,-4,0,"Female","South Africa",3,"southAfrica"
"<20",4,4,-3,-2,-1,5,1,"Female","South Africa",0,"southAfrica"
"20-35",-25,-4,-3,-6,0,-6,-6,"Female","South Africa",-2,"southAfrica"
"<20",1,2,-3,-2,-4,5,3,"Male","South Africa",-2,"southAfrica"
"35-50",17,-1,8,4,-1,2,5,"Female","South Africa",-2,"southAfrica"
NA,4,0,-1,2,0,3,0,"notSay","South Africa",-1,"southAfrica"
"<20",17,0,6,5,1,2,3,"Male","South Africa",-1,"southAfrica"
"20-35",-24,-5,-5,-5,0,-4,-5,"Female","South Africa",4,"southAfrica"
"<20",15,4,6,-1,2,-3,7,"Female","South Africa",3,"southAfrica"
"20-35",-10,0,-2,4,-4,-5,-3,"Female","South Africa",-1,"southAfrica"
"20-35",-6,-2,1,2,-1,-7,1,"Female","South Africa",2,"southAfrica"
"20-35",-31,-4,-5,-6,-6,-5,-5,"Female","South Africa",-3,"southAfrica"
"50+",-14,-3,-6,-3,1,-1,-2,"Female","South Africa",-1,"southAfrica"
"<20",-9,0,-6,1,-4,-2,2,"Female","South Africa",-3,"southAfrica"
"<20",-18,-4,-7,0,-5,3,-5,"Female","South Africa",-1,"southAfrica"
"50+",-1,2,-7,4,3,-3,0,"Female","South Africa",1,"southAfrica"
"<20",-26,-5,-5,-8,-4,-1,-3,"Female","South Africa",-1,"southAfrica"
"35-50",-2,-4,-6,2,2,2,2,"Male","United States",1,"northAmerica"
"20-35",3,1,-1,1,-1,1,2,"Male","South Africa",0,"southAfrica"
"35-50",-3,-3,-8,5,2,-1,2,"Male","South Africa",3,"southAfrica"
"<20",-14,-4,-3,-4,-1,1,-3,"Female","South Africa",1,"southAfrica"
"35-50",-2,0,-7,2,2,4,-3,"Male","South Africa",2,"southAfrica"
"20-35",-18,-6,-5,-2,-3,-3,1,"Female","South Africa",0,"southAfrica"
"20-35",-22,-5,-4,-4,0,-5,-4,"Female","South Africa",0,"southAfrica"
"35-50",-23,-1,-6,-7,0,-6,-3,"Female","South Africa",1,"southAfrica"
"20-35",8,-1,3,5,0,2,-1,"Female","South Africa",-1,"southAfrica"
"35-50",11,1,3,8,-2,-4,5,"Female","South Africa",-2,"southAfrica"
"35-50",-5,-3,-2,0,-2,2,0,"Female","South Africa",-1,"southAfrica"
"<20",-8,-1,2,-3,-5,-2,1,"Female","South Africa",-1,"southAfrica"
"50+",-8,3,-6,-4,-2,0,1,"Female","South Africa",-2,"southAfrica"
"20-35",-28,-8,-4,-6,-5,-1,-4,"Female","South Africa",-4,"southAfrica"
"35-50",23,6,0,4,2,4,7,"Male","South Africa",1,"southAfrica"
"35-50",7,0,1,6,2,-4,2,"Female","South Africa",2,"southAfrica"
"20-35",-17,-2,-8,-2,-2,-1,-2,"Female","South Africa",0,"southAfrica"
"<20",-27,-2,-7,-6,1,-6,-7,"Female","South Africa",1,"southAfrica"
"20-35",-7,1,-6,0,-3,3,-2,"Female","South Africa",-1,"southAfrica"
"50+",17,2,-7,6,9,4,3,"Male","United States",5,"northAmerica"
"35-50",-4,3,-8,0,5,-1,-3,"Female","Australia",2,"AustrNZ"
"35-50",-9,-7,-6,-2,-1,6,1,"Male","South Africa",-3,"southAfrica"
NA,1,-1,-3,6,4,-5,0,"Male","South Africa",1,"southAfrica"
"<20",8,2,4,4,-1,1,-2,"Male","South Africa",2,"southAfrica"
"35-50",10,1,1,5,4,1,-2,"Female","South Africa",2,"southAfrica"
"35-50",-10,-5,-5,-2,3,1,-2,"Female","South Africa",2,"southAfrica"
"20-35",-34,-5,-6,-8,-7,0,-8,"Female","South Africa",-5,"southAfrica"
"20-35",-18,-7,-7,-7,1,3,-1,"Female","South Africa",-2,"southAfrica"
"20-35",12,5,4,-3,2,4,0,"Female","South Africa",1,"southAfrica"
NA,-16,-1,-10,0,0,-5,0,"notSay","South Africa",-2,"southAfrica"
"50+",-31,-2,-7,-9,-4,-4,-5,"Female","Australia",-3,"AustrNZ"
"20-35",-7,-1,-5,5,0,-5,-1,"Male","South Africa",-2,"southAfrica"
"35-50",7,-3,-5,5,3,4,3,"Female","United States",-1,"northAmerica"
"50+",-31,-6,-7,-9,-7,1,-3,"Female","South Africa",-5,"southAfrica"
"20-35",-30,2,-8,-6,-9,-2,-7,"Female","South Africa",-5,"southAfrica"
"35-50",-20,-6,-8,-2,4,-1,-7,"Female","South Africa",2,"southAfrica"
"35-50",-20,-2,-8,-6,-1,0,-3,"Male","South Africa",2,"southAfrica"
"35-50",-19,-5,-1,-3,-1,-4,-5,"Female","South Africa",-1,"southAfrica"
"<20",4,1,-6,4,2,3,0,"Male","South Africa",2,"southAfrica"
"35-50",-18,-7,-7,-6,0,4,-2,"Female","South Africa",0,"southAfrica"
"20-35",-27,-6,-7,-6,-4,-1,-3,"Female","South Africa",-2,"southAfrica"
"35-50",0,-5,0,-1,-3,5,4,"Female","South Africa",-4,"southAfrica"
"50+",20,2,4,2,3,4,5,"Male","United States Minor Outlying Islands",1,"northAmerica"
"50+",2,-2,-4,4,4,-2,2,"Female","United States",2,"northAmerica"
"20-35",-15,-8,-6,2,2,0,-5,"Female","South Africa",0,"southAfrica"
"35-50",3,5,-7,5,2,0,-2,"Female","South Africa",3,"southAfrica"
"50+",-12,-5,-10,-3,4,0,2,"Female","South Africa",1,"southAfrica"
"35-50",-30,-1,-6,-3,-8,-5,-7,"Female","South Africa",-3,"southAfrica"
"<20",-20,0,-3,-9,-2,-2,-4,"Male","South Africa",1,"southAfrica"
"50+",-4,-1,-5,-2,8,-1,-3,"Female","Canada",5,"northAmerica"
"<20",-3,-2,0,3,-2,-1,-1,"Male","South Africa",0,"southAfrica"
"20-35",6,2,-2,1,4,4,-3,"Male","South Africa",3,"southAfrica"
"20-35",-23,-6,-8,0,-5,0,-4,"Female","South Africa",-2,"southAfrica"
"<20",12,1,0,5,2,3,1,"Male","South Africa",3,"southAfrica"
"<20",11,2,0,4,-3,6,2,"Male","South Africa",-1,"southAfrica"
NA,-36,-7,-8,-6,-8,0,-7,"Male","South Africa",-4,"southAfrica"
"<20",3,-3,-2,7,0,0,1,"Male","South Africa",-1,"southAfrica"
"50+",-18,-4,-6,5,-7,0,-6,"Female","South Africa",-3,"southAfrica"
"35-50",-16,-1,-9,3,0,-6,-3,"Other","South Africa",0,"southAfrica"
NA,-5,-5,-3,6,3,-3,-3,"notSay","South Africa",2,"southAfrica"
"<20",21,-1,8,8,-3,4,5,"Male","South Africa",0,"southAfrica"
"35-50",-5,-2,-6,0,5,-3,1,"Female","Ireland",2,"UKireland"
"35-50",-10,-4,-6,0,0,0,0,"Female","South Africa",-1,"southAfrica"
"50+",10,2,-4,4,4,0,4,"Male","South Africa",1,"southAfrica"
"35-50",-25,-3,-3,-4,-2,-7,-6,"Female","South Africa",-2,"southAfrica"
"20-35",27,3,6,2,2,5,9,"Female","South Africa",0,"southAfrica"
"20-35",-3,-2,1,-2,0,-2,2,"Male","South Africa",-1,"southAfrica"
"35-50",-11,-5,-3,0,1,-3,-1,"Male","South Africa",0,"southAfrica"
"<20",-5,0,-4,-6,2,3,0,"Male","South Africa",1,"southAfrica"
"35-50",-23,-4,-7,-5,-2,-4,-1,"Female","South Africa",-3,"southAfrica"
"20-35",-16,-3,-6,-5,-2,0,0,"Male","South Africa",0,"southAfrica"
"35-50",-13,0,-10,4,-4,2,-5,"Female","South Africa",-1,"southAfrica"
"<20",14,0,-1,10,1,4,0,"Male","South Africa",0,"southAfrica"
"<20",-27,-6,-5,-6,-5,-2,-3,"Female","South Africa",-1,"southAfrica"
NA,9,-2,-3,4,5,4,1,"Male","South Africa",4,"southAfrica"
"35-50",-3,-1,-4,2,3,2,-5,"Male","South Africa",4,"southAfrica"
"50+",-12,1,-4,-6,-5,2,0,"Male","South Africa",-4,"southAfrica"
"35-50",7,4,0,0,2,2,-1,"Male","South Africa",1,"southAfrica"
"35-50",8,2,-3,5,2,1,1,"Female","South Africa",0,"southAfrica"
"35-50",-1,-4,3,1,-4,1,2,"Male","South Africa",-3,"southAfrica"
"20-35",-17,-5,-5,-1,-5,-1,0,"Female","South Africa",-3,"southAfrica"
"20-35",-18,-1,-4,-4,-5,-5,1,"Male","South Africa",-3,"southAfrica"
"20-35",14,0,3,-1,2,8,2,"Female","South Africa",-1,"southAfrica"
"20-35",11,0,4,0,2,3,2,"Female","South Africa",4,"southAfrica"
"35-50",-7,1,-3,-3,1,-3,0,"Male","South Africa",1,"southAfrica"
"20-35",8,2,-3,3,2,1,3,"Female","South Africa",3,"southAfrica"
"20-35",20,1,2,8,2,3,4,"Female","South Africa",0,"southAfrica"
"50+",10,3,5,2,5,-3,-2,"Female","United Kingdom",3,"UKireland"
"20-35",-5,-2,0,1,1,-5,0,"Male","South Africa",0,"southAfrica"
"20-35",18,3,4,6,-1,1,5,"Female","South Africa",-2,"southAfrica"
"50+",3,-1,-2,2,0,3,1,"Male","South Africa",-1,"southAfrica"
"20-35",-7,-6,-4,4,-3,0,2,"Male","South Africa",-3,"southAfrica"
"35-50",20,2,7,7,0,0,4,"Male","South Africa",-1,"southAfrica"
"35-50",-11,-1,-2,-4,0,-4,0,"Male","South Africa",0,"southAfrica"
"20-35",-30,-9,-5,-9,-2,-1,-4,"Female","United States",-1,"northAmerica"
"50+",24,2,6,6,5,0,5,"Female","South Africa",2,"southAfrica"
"20-35",-9,-5,-3,-2,1,1,-1,"Female","South Africa",0,"southAfrica"
NA,-15,-5,1,-7,-2,0,-2,"Female","United Kingdom",0,"UKireland"
"<20",20,3,0,5,0,7,5,"Female","South Africa",2,"southAfrica"
"35-50",-11,0,-1,-6,1,-4,-1,"Male","South Africa",0,"southAfrica"
"35-50",2,-1,-5,1,6,3,-2,"Male","South Africa",4,"southAfrica"
"<20",-25,-2,-2,-6,-5,-4,-6,"Female","South Africa",-5,"southAfrica"
"20-35",-1,0,0,0,2,-1,-2,"Male","South Africa",0,"southAfrica"
"20-35",30,5,6,6,-1,6,8,"Male","South Africa",-1,"southAfrica"
"20-35",-21,-3,-7,-2,-2,-4,-3,"Other","South Africa",-2,"southAfrica"
"35-50",-41,-7,-7,-9,-10,-6,-2,"Female","Australia",-5,"AustrNZ"
